149,2020,Data Scientist,Python,,,,,,,,,,,,,,,
150,2020,Currently not employed,Python,R,,,,Java,,,,,,,,,,
151,2020,,,,,,,,,,,,,,,,,
152,2020,Student,Python,,SQL,C,C++,Java,Javascript,,,,,,,,,
153,2020,Student,,,,,,,,,,,,,,,,
154,2020,Research Scientist,Python,,,,,,,,,Bash,,,Other,,,
155,2020,Business Analyst,,R,,,,,,,,,,,,,,
156,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
157,2020,Machine Learning Engineer,,,,,,,,,,,,,,,,
158,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
159,2020,Research Scientist,Python,,SQL,,,,,,,,MATLAB,,,,,
160,2020,Currently not employed,Python,,SQL,,,,,,,,,,,,,
161,2020,Software Engineer,Python,R,SQL,,C++,Java,Javascript,,,,MATLAB,,Other,,,
162,2020,,,,,,,,,,,,,,,,,
163,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
164,2020,Software Engineer,Python,,SQL,,,,,,,Bash,,,Other,,,
165,2020,Research Scientist,Python,,,,,,,,,,,,,,,
166,2020,Student,Python,,SQL,C,C++,Java,,,,,,,,,,
167,2020,Data Analyst,Python,R,SQL,,,,,,,,,,,,,
168,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
169,2020,Data Scientist,Python,R,,,,,,,,,,,,,,
170,2020,Currently not employed,Python,,,,,,,,,,,,,,,
171,2020,Student,Python,,,,,,,,,,,,,,,
172,2020,Software Engineer,,,,,,,,,,,,,,,,
173,2020,Data Scientist,Python,R,SQL,C,C++,Java,Javascript,,,,MATLAB,,,,,
174,2020,Research Scientist,Python,,SQL,C,C++,Java,,,,Bash,,,Other,,,
175,2020,Data Analyst,,R,SQL,,,,,,,,,,,,,
176,2020,Other,Python,,,,,,,,,,,,,,,
177,2020,Other,Python,,,C,C++,,,,,,MATLAB,,,,,
178,2020,Software Engineer,Python,R,SQL,,C++,,Javascript,,,Bash,,,,,,
179,2020,Student,Python,,,C,C++,Java,Javascript,,,,,,,,,
180,2020,Data Scientist,Python,,,,,,,,,,,,,,,
181,2020,Student,,,,,C++,,,,,,MATLAB,,,,,
182,2020,Student,Python,,,C,,,,,,,,,,,,
183,2020,Machine Learning Engineer,Python,,SQL,,,Java,,,,,,,,,,
184,2020,Data Scientist,Python,R,,C,,,,,,,,,,,,
185,2020,Student,Python,,,,C++,,,,,,,,,,,
186,2020,Student,Python,,,C,C++,,,,,,,,,,,
187,2020,Student,Python,,,,C++,,Javascript,,Swift,,,,,,,
188,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
189,2020,Student,Python,,,,,,Javascript,,,,,,,,,
190,2020,Student,Python,,SQL,C,C++,Java,,,,,MATLAB,,,,,
191,2020,Machine Learning Engineer,Python,,,,,,Javascript,,,,MATLAB,,,,,
192,2020,Software Engineer,Python,R,SQL,,C++,Java,Javascript,,Swift,,,,,,,
193,2020,Student,Python,,SQL,,,Java,Javascript,Julia,,,,,,,,
194,2020,Data Scientist,Python,,SQL,,,Java,,,,Bash,MATLAB,,,,,
195,2020,Data Analyst,Python,,SQL,,,,Javascript,,,,,,,,,
196,2020,Other,Python,,SQL,,,,,,,,,,,,,
197,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
198,2020,Currently not employed,Python,,,,,,,,,,,,,,,
199,2020,Research Scientist,Python,,,,,,,,,,,,,,,
200,2020,Data Scientist,Python,R,,,,,,,,,,,,,,
201,2020,Data Scientist,,,,,,,,,,,,,,,,
202,2020,Student,Python,R,,C,C++,,,,,,,,,,,
203,2020,Student,Python,,,C,,Java,,,,,,,,,,
204,2020,Data Scientist,Python,,,,,,,,,,,,,,,
205,2020,Student,Python,R,,,,,,,,,,,Other,,,
206,2020,Other,Python,R,,,,,,,,,,,,,,
207,2020,Statistician,Python,,,,C++,,,,,,,,,,,
208,2020,Currently not employed,,,,,,,,,,,,,,,,
209,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
210,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
211,2020,Student,Python,R,,,,,,,,,,,,,,
212,2020,Currently not employed,Python,,,,,,,,,,,,,,,
213,2020,Data Scientist,Python,R,SQL,,,,,,,Bash,,,,,,
214,2020,Data Scientist,Python,,,,,,,,,,,,,,,
215,2020,Other,Python,,,,,,,,,,,,,,,
216,2020,Student,Python,,,,,,,,,,,,,,,
217,2020,Product/Project Manager,Python,,SQL,,,Java,Javascript,,,,,,,,,
218,2020,Student,Python,,,,C++,,Javascript,,,,MATLAB,,,,,
219,2020,Data Scientist,Python,,,,,,,,,,,,,,,
220,2020,Data Scientist,Python,,,,,Java,,,,,MATLAB,,,,,
221,2020,Data Scientist,Python,,SQL,,,Java,,,,,,,,,,
222,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
223,2020,Student,Python,,,,C++,,,,,,,,Other,,,
224,2020,Student,Python,,,,C++,,,,,,,,,,,
225,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
226,2020,Student,Python,,SQL,,,,,,,,MATLAB,,,,,
227,2020,Currently not employed,Python,,SQL,C,,Java,Javascript,,,,,,,,,
228,2020,Currently not employed,,R,,,,,,,,,,,,,,
229,2020,Student,Python,,,,C++,Java,,,,,MATLAB,,,,,
230,2020,Software Engineer,Python,,SQL,,C++,Java,,,,,,,,,,
231,2020,Student,Python,,,,,,,,,,,,,,,
232,2020,Product/Project Manager,Python,,,,,,,,,,,,,,,
233,2020,Student,Python,,SQL,,,,,,,,,,,,,
234,2020,Data Analyst,Python,R,SQL,,,,,,,,,,,,,
235,2020,Student,Python,,,,C++,,Javascript,,,,,,,,,
236,2020,Student,,,,,,,,,,,,,,,,
237,2020,Data Engineer,,,SQL,,C++,,,,,,,,,,,
238,2020,Student,Python,,SQL,,,,,,,,MATLAB,,,,,
239,2020,Other,Python,,,,,,,,,,,,,,,
240,2020,Software Engineer,Python,,SQL,,,,Javascript,,,,,,Other,,,
241,2020,,,,,,,,,,,,,,,,,
242,2020,Data Scientist,Python,R,SQL,,C++,Java,Javascript,,,,,,,,,
243,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
244,2020,Statistician,Python,R,,,,,,,,,,,,,,
245,2020,Software Engineer,Python,,SQL,,,,Javascript,,,Bash,,,Other,,,
246,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
247,2020,Student,Python,,,,C++,,,,,,,,,,,
248,2020,Student,Python,,,,C++,,Javascript,,,Bash,,,,,,
249,2020,Data Analyst,,,,,,,,,,,,,,,,
250,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
251,2020,Currently not employed,Python,R,,,,,,,,,MATLAB,,,,,
252,2020,Student,Python,,,,,,,,,,,,Other,,,
253,2020,Student,,,,,,,,,,,,,,,,
254,2020,Product/Project Manager,Python,,SQL,,,Java,,,,,,,,,,
255,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
256,2020,Student,Python,,,,,,,,,,,,,,,
257,2020,Software Engineer,,,,,,,,,,,,,,,,
258,2020,Other,,,,,,,,,,,,,,,,
259,2020,Software Engineer,Python,R,,C,,,Javascript,,,,,,,,,
260,2020,Machine Learning Engineer,Python,,SQL,C,C++,,,,,,,,,,,
261,2020,Student,,,,,,,Javascript,,,,,,Other,,,
262,2020,Student,Python,,,,,,,,,,,,,,,
263,2020,Currently not employed,,,,,,,,,,,,,,,,
264,2020,Student,Python,,,,,,,,,,,,,,,
265,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
266,2020,Data Engineer,Python,,SQL,,,Java,,,,Bash,,,,,,
267,2020,Student,Python,,,,,,,,,,,,,,,
268,2020,Statistician,Python,R,SQL,,,,,,,,,,,,,
269,2020,Research Scientist,Python,,,C,C++,Java,,,,Bash,,,,,,
270,2020,Student,Python,,,,C++,,,,,,,,,,,
271,2020,Data Analyst,Python,,,,C++,,,,,,,,,,,
272,2020,Software Engineer,Python,,SQL,,,,Javascript,,,,,,Other,,,
273,2020,Student,Python,,,,,Java,,,,,,,,,,
274,2020,Student,Python,R,,,,,,,,,,,,,,
275,2020,Business Analyst,Python,R,SQL,C,C++,Java,,,,,,,,,,
276,2020,Data Analyst,Python,,,,,,,,,,,,,,,
277,2020,Student,Python,,SQL,,,,,,,,,,,,,
278,2020,Software Engineer,Python,,SQL,,,,,,,Bash,,,,,,
279,2020,Student,,,,,,Java,,,,,,,,,,
280,2020,Other,Python,,SQL,,C++,,,,,,,,,,,
281,2020,Other,,,,,,,,,,,,,,,,
282,2020,Student,Python,,,C,C++,,,,,,,,,,,
283,2020,Student,Python,,,C,C++,Java,Javascript,,,,MATLAB,,,,,
284,2020,,,,,,,,,,,,,,,,,
285,2020,Other,Python,,,,,Java,Javascript,,,,,,,,,
286,2020,Currently not employed,Python,,,,,,,,,,,,,,,
287,2020,Data Scientist,Python,,SQL,,,,,,,,,,Other,,,
288,2020,Research Scientist,,,,,,,,,,,,,,,,
289,2020,Student,,,SQL,C,C++,Java,,,,,,,,,,
290,2020,Student,Python,,,,C++,,,,,,,,,,,
291,2020,Data Analyst,Python,,,,,,,,,,,,,,,
292,2020,Student,Python,,,,,,,,,,,,,,,
293,2020,Business Analyst,Python,R,SQL,,,,,,,,,,Other,,,
294,2020,Data Analyst,,,,,,,,,,,,None,,,,
295,2020,Data Scientist,Python,,,,C++,,,,,,,,,,,
296,2020,Student,Python,,,C,,Java,,,,,,,,,,
297,2020,Student,Python,,SQL,,C++,,,,,,,,,,,
298,2020,Student,Python,,SQL,,,,,,,,,,,,,
299,2020,Student,Python,,,C,C++,,,,,,,,,,,
300,2020,Other,Python,,,,,,,,,,,,,,,
301,2020,Machine Learning Engineer,Python,,,C,,,,,,,MATLAB,,Other,,,
302,2020,Data Engineer,Python,R,,,,,,,,,,,Other,,,
303,2020,Data Scientist,Python,,,,,,,,,,,,,,,
304,2020,Other,Python,,SQL,,,Java,Javascript,,,Bash,,,Other,,,
305,2020,Currently not employed,Python,,,,,,,,,,,,,,,
306,2020,,,,,,,,,,,,,,,,,
307,2020,Business Analyst,Python,,SQL,,,,,,,,,,,,,
308,2020,Student,,,,,,,,,,,,,,,,
309,2020,Data Analyst,,,SQL,,,,,,,,,,,,,
310,2020,Student,Python,R,SQL,,,,,,,,,,,,,
311,2020,Data Scientist,Python,,SQL,,,,,,,Bash,,,,,,
312,2020,Student,Python,,,,C++,,,,,,,,,,,
313,2020,Student,Python,,,,,,,,,,,,,,,
314,2020,Product/Project Manager,Python,,SQL,,,,Javascript,,,,,,,,,
315,2020,Other,Python,R,,,,,,,,,,,,,,
316,2020,Software Engineer,Python,R,,C,C++,,Javascript,,,Bash,,,,,,
317,2020,Product/Project Manager,,,,,,,,,,,MATLAB,,,,,
318,2020,Data Scientist,Python,,,,,,,,,,,,,,,
319,2020,Student,,R,,,,,Javascript,,,,MATLAB,,,,,
320,2020,Software Engineer,Python,,SQL,,C++,Java,Javascript,,,,,,,,,
321,2020,,,,,,,,,,,,,,,,,
322,2020,Data Scientist,Python,,,C,,,,,,,,,,,,
323,2020,Student,Python,,,C,C++,,Javascript,,,,,,,,,
324,2020,Currently not employed,Python,,,C,,Java,,,,,,,,,,
325,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
326,2020,Student,Python,,,,C++,,Javascript,,,,,,,,,
327,2020,Software Engineer,,,,,,,,,,,,,,,,
328,2020,Data Scientist,Python,,,,,,,,,,,,,,,
329,2020,Student,Python,,SQL,,C++,Java,Javascript,,,,,,,,,
330,2020,Software Engineer,Python,,,C,,Java,,,,Bash,,,,,,
331,2020,Student,Python,,,,,,,,,,,,,,,
332,2020,Student,Python,,,C,,Java,,,,,,,,,,
333,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
334,2020,Software Engineer,Python,,SQL,,C++,Java,Javascript,,,,,,,,,
335,2020,Currently not employed,,,,,,,,,,,,,,,,
336,2020,Other,,,,,,,,,,,,,,,,
337,2020,Student,,,,,,,,,,,,,,,,
338,2020,Student,Python,,,,C++,,,,,,,,,,,
339,2020,Product/Project Manager,Python,,SQL,,,,,,,,,,,,,
340,2020,Student,,,,,,,,,,,,,,,,
341,2020,Student,Python,,SQL,,C++,,Javascript,,,,,,,,,
342,2020,Currently not employed,Python,,SQL,C,,Java,,,,,,,,,,
343,2020,Currently not employed,Python,,SQL,,,,,,,Bash,,,Other,,,
344,2020,Other,,R,,,,,,,,,,,,,,
345,2020,Research Scientist,Python,R,SQL,,C++,Java,,,,,,,,,,
346,2020,Currently not employed,Python,,,,,,,,,,,,,,,
347,2020,Other,Python,,,,,,Javascript,,,,,,,,,
348,2020,Product/Project Manager,,,,,,,,,,,,,,,,
349,2020,Research Scientist,Python,R,,,,,,,,,,,,,,
350,2020,Student,Python,,,,,,,,,,,,,,,
351,2020,Student,Python,,,C,C++,Java,,,,,MATLAB,,,,,
352,2020,DBA/Database Engineer,Python,,,,,,,,,,,,,,,
353,2020,Other,Python,,SQL,C,C++,,,,,Bash,MATLAB,,,,,
354,2020,Student,Python,,,,,,,,,,,,,,,
355,2020,Student,Python,,,,C++,,,,,,,,,,,
356,2020,DBA/Database Engineer,Python,,SQL,,,,,,,,,,Other,,,
357,2020,Software Engineer,Python,,,,,,,,,,,,,,,
358,2020,Data Analyst,Python,,,,,,,,,,,,,,,
359,2020,Currently not employed,Python,,SQL,C,C++,,,,,,MATLAB,,Other,,,
360,2020,Software Engineer,Python,,SQL,,,,,,,,,,,,,
361,2020,Product/Project Manager,Python,R,,,,,,,,,,,,,,
362,2020,Other,Python,,,,,,,,,,MATLAB,,,,,
363,2020,Currently not employed,Python,R,SQL,,C++,,,,,,,,,,,
364,2020,Student,Python,,,,,,,,,,,,,,,
365,2020,Data Scientist,Python,,,,,,,,,,,,,,,
366,2020,Student,Python,,,C,,Java,,,,,,,,,,
367,2020,Data Analyst,Python,R,SQL,,,,,,,Bash,,,,,,
368,2020,Student,Python,,,,,,,,,,MATLAB,,,,,
369,2020,Student,Python,,SQL,C,C++,Java,,,,,,,,,,
370,2020,Data Engineer,,,,,,,,,,,,,,,,
371,2020,Product/Project Manager,Python,,,,,,,,,,,,,,,
372,2020,Data Scientist,Python,,,,C++,,,,,,MATLAB,,,,,
373,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
374,2020,Student,Python,,,,C++,,,,,,,,,,,
375,2020,Student,Python,,,,C++,,,,,,MATLAB,,,,,
376,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
377,2020,Data Scientist,Python,,SQL,,,,,Julia,,,,,,,,
378,2020,Research Scientist,Python,R,,,,,,,,,,,,,,
379,2020,Currently not employed,,R,,,,,,,,,,,,,,
380,2020,Research Scientist,Python,,,C,C++,,,,,,MATLAB,,,,,
381,2020,Currently not employed,,,,,,,,,,,,,,,,
382,2020,Other,,,,,,,,,,,,,,,,
383,2020,Machine Learning Engineer,Python,,,,,,,,,,,,,,,
384,2020,Currently not employed,Python,,,,C++,,,,,,MATLAB,,,,,
385,2020,Student,Python,,SQL,,,,,,,,,,,,,
386,2020,,,,,,,,,,,,,,,,,
387,2020,Business Analyst,,R,SQL,,,,,,,,,,Other,,,
388,2020,Machine Learning Engineer,Python,,,,,Java,Javascript,,,Bash,,,,,,
389,2020,Product/Project Manager,,,,,,,,,,,,,,,,
390,2020,Business Analyst,Python,,,,,,,,,,,,Other,,,
391,2020,Software Engineer,,,,,,,Javascript,,,,,,Other,,,
392,2020,Data Scientist,Python,,SQL,C,C++,,,,,,,,,,,
393,2020,Data Engineer,Python,,SQL,C,C++,Java,,,,,,,Other,,,
394,2020,Machine Learning Engineer,Python,,,,C++,,,,,,,,,,,
395,2020,Other,Python,,,,,,,,,,,,,,,
396,2020,Business Analyst,,,,,,,,,,,,None,,,,
397,2020,Currently not employed,Python,,,C,,,,,,,,,,,,
398,2020,Student,Python,,,,,,,,,,,,,,,
399,2020,Research Scientist,,R,SQL,,,,Javascript,,,,,,,,,
400,2020,Student,Python,,,,,,,,,Bash,,,,,,
401,2020,Machine Learning Engineer,Python,,SQL,C,C++,,Javascript,,,,MATLAB,,,,,
402,2020,,,,,,,,,,,,,,,,,
403,2020,Machine Learning Engineer,Python,,,,,,Javascript,,,,,,,,,
404,2020,Student,Python,R,SQL,,,,,,,,,,,,,
405,2020,,,,,,,,,,,,,,,,,
406,2020,Student,Python,,SQL,,C++,,,,,,,,,,,
407,2020,Other,Python,,,,,,,,,,,,,,,
408,2020,Currently not employed,Python,,,,,,,,,,,,,,,
409,2020,Student,Python,,,,C++,,Javascript,,,,,,,,,
410,2020,Research Scientist,Python,,,,,Java,,,,,,,,,,
411,2020,Currently not employed,,,,,,,,,,,MATLAB,,,,,
412,2020,Student,Python,R,,,,,,,,,,,,,,
413,2020,Business Analyst,Python,,,,,,,,,,,,,,,
414,2020,Student,Python,,SQL,,C++,,,,,,,,,,,
415,2020,Data Engineer,Python,,SQL,,,,,,,,,,,,,
416,2020,Data Scientist,Python,,SQL,,,,,,,,,,,,,
417,2020,Currently not employed,Python,,,,C++,,Javascript,,,,,,,,,
418,2020,Student,,,,C,,Java,,,,,MATLAB,,,,,
419,2020,,,,,,,,,,,,,,,,,
420,2020,Other,,,,,,,,,,,,,,,,
421,2020,,,,,,,,,,,,,,,,,
422,2020,Data Scientist,Python,,,,,,,,,,,,,,,
423,2020,Software Engineer,Python,,,,C++,Java,,,,,,,,,,
424,2020,Business Analyst,Python,,,,,,,,,,,,,,,
425,2020,Data Analyst,,,SQL,,,,,,,,,,,,,
426,2020,Data Engineer,Python,,SQL,,,,,,,,,,,,,
427,2020,,,,,,,,,,,,,,,,,
428,2020,Data Analyst,Python,,,,,,,,,,,,,,,
429,2020,Data Scientist,Python,R,SQL,,,,,,,,,,,,,
430,2020,Data Analyst,Python,,SQL,,,,,,,,,,,,,
431,2020,Student,,,,,,,Javascript,,,,,,,,,
432,2020,Statistician,Python,,,,,,,,,,,,,,,
433,2020,Research Scientist,Python,,,,C++,,,,,Bash,,,,,,
434,2020,,,,,,,,,,,,,,,,,
435,2020,Software Engineer,Python,,SQL,,,Java,,,,,,,,,,
436,2020,Data Analyst,,R,SQL,,,,Javascript,,,,,,,,,
437,2020,Data Scientist,Python,R,,,,,,,,,,,Other,,,
